名称,年份,导演,演员,类型,国别,语言,评分,评分人数,五星占比,四星占比,三星占比,二星占比,一星占比,短评数,简介
绝杀慕尼黑 Движение вверх,2017,安东·梅格尔季切夫,"弗拉基米尔·马什科夫,约翰·萨维奇,马拉特·巴沙罗夫,谢尔盖·加尔马什,伊万·科列斯尼科夫,亚历山德拉·雷文科,詹姆斯·托拉斯,基里尔·扎耶采夫,安德烈·斯莫利亚科夫","剧情,运动",俄罗斯,"格鲁吉亚语,俄语,英语,立陶宛语",8.2,111765,30.9%,51.1%,16.7%,1.2%,0.2%,30814,电影根据体育历史中著名的传奇真实事件改编，讲述了1972年慕尼黑奥运会篮球决赛中，前苏联篮球队打败了保持了36年全胜纪录的美国队的传奇故事。在决赛结束前三秒钟，美国队以一分优势领先。美国队已经开始提前庆祝比赛的胜利了，因为他们相信比赛结果已成定局。然而，一位来自苏联的不知名篮球教练，率领着艰难、困苦、贫穷中的苏联国家队，比赛结果发生逆转，整个篮球历史也发生了改变。
E.T. 外星人 E.T.: The Extra-Terrestrial,1982,史蒂文·斯皮尔伯格,"亨利·托马斯,迪·沃伦斯,罗伯特·麦克纳夫顿,德鲁·巴里摩尔,彼德·考约特","剧情,科幻",美国,英语,8.6,245903,42.1%,45.1%,12.0%,0.7%,0.2%,26865,小埃利奥特（亨利托马斯）发现一个意外走失的小外星人，他悄悄的收留了小外星人，并把他介绍给自己的哥哥和妹妹。孩子们与外星人友好的相处，给他吃巧克力，带他去郊外寻找家人留下的痕迹，并为小外星人的种种特异功能兴奋不已。渐渐的埃利奥特与外星人之间形成了某种奇妙的联系，跨越了言语沟通的障碍。
第六感 The Sixth Sense,1999,M·奈特·沙马兰,"布鲁斯·威利斯,海利·乔·奥斯蒙,托妮·科莱特,奥莉维亚·威廉姆斯,唐尼·沃尔伯格,特拉沃·摩根,彼得·安东尼·唐伯蒂斯,格伦·菲茨杰拉德,米莎·巴顿,Lisa Summerour,法尔德斯·巴姆,杰弗里·泽布尼斯","剧情,悬疑,惊悚",美国,"英语,拉丁语,西班牙语",8.9,372453,52.5%,38.7%,8.2%,0.5%,0.1%,72362,麦克（布鲁斯·威利斯 饰）是著名儿童心理学家，却也有始终未能治愈的患者，甚至因此遭到枪击，这名少年随后也饮枪自毙。这给麦克带来很大心理阴影，一年后他找到另一个症状很像这名患者的男孩柯尔（海利·乔·奥斯蒙 饰），并耐心的做起了他的医生。柯尔并不容易接近，但麦克还是慢慢赢得 了他的信任，得知了柯尔的秘密。原来柯尔有着灵异的第六感，可以看到鬼魂。虽然这令人感到难以置信，但麦克在证实了事情的真相后还是帮助柯尔接受了这个事实。
甜蜜蜜,1996,陈可辛,"黎明,张曼玉,杨恭如,曾志伟,杜可风,张同祖,诸慧荷,丁羽","剧情,爱情",中国香港,"粤语,汉语普通话,英语",8.8,350843,51.3%,39.1%,9.0%,0.5%,0.1%,70360,改革开放初期，黎小军（黎明 饰）告别女友小婷（杨恭如 饰）从天津（国语版中为无锡）来到香港讨生活，期望有天挣到大钱把小婷接来与之风风光光地成婚，没料想日子会比想象中的难熬许多。
蝙蝠侠：侠影之谜 Batman Begins,2005,克里斯托弗·诺兰,"克里斯蒂安·贝尔,迈克尔·凯恩,连姆·尼森,凯蒂·霍尔姆斯,加里·奥德曼,基里安·墨菲,汤姆·威尔金森,鲁特格尔·哈尔,渡边谦,小马克·布恩,莱纳斯·罗彻,摩根·弗里曼,拉里·霍尔登,杰拉德·墨菲,柯林·麦克法兰,莎拉·斯图尔特,加斯·刘易斯,理查德·布雷克,拉德·舍博德兹加,艾玛·洛克哈特,克里斯蒂尼·亚当斯,凯瑟琳·波特,约翰·诺兰,杰克·格里森","剧情,动作,科幻,惊悚,犯罪","美国,英国","英语,乌尔都语,汉语普通话",8.4,253882,36.5%,49.8%,13.0%,0.6%,0.1%,34738,布鲁斯 韦恩（克里斯汀•贝尔 Christian Bale 饰）童年亲眼目睹了父母在高谭市街头被歹徒枪杀，韦恩充满怒火。在继承了父亲亿万家产后，韦恩开始环游世界，希望凭自己的力量复仇和打击犯罪！
海街日记 海街diary,2015,是枝裕和,"绫濑遥,长泽雅美,夏帆,广濑铃,大竹忍,堤真一,加濑亮,风吹淳,中川雅也,前田旺志郎 ,铃木亮平,坂口健太郎,树木希林","剧情,家庭",日本,日语,8.8,260636,48.2%,42.2%,9.1%,0.5%,0.1%,74481,临海古都镰仓，顺山而成的小镇，不起眼的角落里生活着香田家四姐妹。她们的父亲早年和情人离家出走，母亲则干脆将女儿们抛给了外婆照顾。外婆去世后，外孙女们继承了这栋有着悠久历史的大房子。过早担负起家庭重任的大姐香田幸（绫濑遥 饰），尽心尽力照顾着两个妹妹佳乃（长泽雅美 饰）、千佳（夏帆 饰）健康成长。这一天，父亲去世的消息传到姐妹手中。她们结伴而行参加了父亲的葬礼，并且结识了从未谋面的异母妹妹浅野铃（广濑丝丝 饰）。许是血缘中的亲近之感，幸在临行前邀请铃搬来镰仓同住。未过多久，抱着对姐姐们的憧憬，铃迈入了父亲曾经生活过的房子。四季流转，姐妹们的故事悄然上演……
超脱 Detachment,2011,托尼·凯耶,"艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩,克里斯蒂娜·亨德里克斯,刘玉玲,布莱思·丹纳,蒂姆·布雷克·尼尔森,威廉·彼德森,布莱恩·科兰斯顿,萨米·盖尔,Louis Zorich,小伊塞亚·维特洛克,David Hausen,约翰·塞纳迭姆博,西莉亚·奥,罗南·鲁宾斯坦,阿尔·卡尔德隆,布雷南·布朗,Reagan Leonard,詹姆斯·霍西,乔什·帕斯,瑞内·菲利斯·史密斯,道格·伊·道格,Patricia Rae,萨曼萨·罗根,拉尔夫·罗德里格斯",剧情,美国,英语,8.9,307568,54.7%,35.5%,8.8%,0.9%,0.2%,80443,亨利•巴赫特（艾德里安•布洛迪 Adrien Brody 饰）来到社区学校担任代课老师。学校因学生反叛、经营不善而濒临绝境，多丽丝（刘玉玲 饰）为首的一批教师备受煎熬。亨利的第一堂课就遭遇了顽劣学生的挑衅，但是被他巧妙地化解。他赢得了女教师萨沙（克里斯蒂娜•亨德里克斯 Christina Hendricks）的好感。同时，他的教学方式引起了同学们的兴趣，其中就包括因肥胖而苦闷的梅丽迪斯。她一直默默地承受着因体重带来的各种责骂与嘲笑。但是因为老师，她似乎又找到了一切的理由……
血观音 血觀音,2017,杨雅喆,"惠英红,吴可熙,文淇,柯佳嬿,陈莎莉,丁强,刘尚谦,林志儒,王月,温贞菱,王伟六,陈珮骐,尹昭德,大久保麻梨子,巫书维,颜毓麟,刘越逖,傅子纯,陈武康,施名帅,秀兰玛雅,应蔚民,李铨","剧情,悬疑",中国台湾,"汉语普通话,粤语,闽南语,日语",8.4,238086,36.1%,49.2%,13.5%,1.0%,0.2%,61691,《血观音》描述在女人组成的棠府里，住着3位不同世代但一样懂人心的女性，由棠夫人（惠英红饰）主持大局，穿梭权贵间，靠着高超手腕与柔软身段，在复杂的政商关系中生存取利；个性如刺猬般的大女儿棠宁（吴可熙饰）为求母亲肯定，勉力配合；乖巧的小女儿棠真（文淇饰）多半静静观察，唯母命是从。直到某天，棠家亲密友人惨遭灭门事件爆发，三人各自被牵扯其中，一向以大局为重的棠夫人，为了守护一切，费尽心机，却让三人走向不同的命运。
再次出发之纽约遇见你 Begin Again,2013,约翰·卡尼,"凯拉·奈特莉,马克·鲁弗洛,亚当·莱文,詹姆斯·柯登,海莉·斯坦菲尔德,凯瑟琳·基纳,茅斯·达夫,罗伯·莫洛,伊恩·布罗茨基,香农·沃尔什,大卫·埃伯利斯,马科·阿桑特,玛丽·凯瑟琳·歌瑞森,詹·雅各布,席洛·格林,詹妮弗·李·杰克逊,特里·刘易斯,吉米·帕伦博,西蒙·德兰尼,丹妮尔·布里瑟布瓦,基恩·鲁弗洛,尼古拉斯·丹尼尔·冈萨雷斯,麦迪·科尔曼,阿雅·卡什,大卫·彭德尔顿,保罗·罗梅罗,安德鲁·塞伦,凯伦·皮特曼,罗恩·沃斯","喜剧,爱情,音乐",美国,英语,8.5,286144,42.5%,43.5%,12.9%,0.9%,0.2%,73706,格雷塔（凯拉·奈特莉 Keira Knightley 饰）抛弃了一切跟随着男友戴夫（亚当·李维 Adam Levine 饰）来到美国纽约实现他们的音乐和爱情梦想，没想到曾经幻想过的美好一切化作泡影，在获得了更好的工作机会后，戴夫果断抛弃了格雷塔，留下她一人苦苦在底层挣扎。
入殓师 おくりびと,2008,泷田洋二郎,"本木雅弘,广末凉子,山崎努,吉行和子,笹野高史,余贵美子",剧情,日本,日语,8.8,437503,52.0%,38.7%,8.6%,0.5%,0.1%,78232,买了昂贵的大提琴，想要成就一番事业的小林大悟（本木雅弘 饰），经历了4个月的管弦乐演奏，得到的却是"乐团解散"的噩耗与购买乐器的高昂债务。迫不得已，大悟与妻子美香（广末凉子 饰）搬到老屋，过着清贫的日子。某日，一则广告吸引了大悟的注意：NK代理公司，帮助旅行，高薪短工时。大悟来到NK代理公司面试，社长佐佐木生荣（山崎努 饰）二话不说就决定聘用大悟，但却对工作内容避而不谈。在大悟的再三追问下，佐佐木社长终于道明：是入殓（日语Nou Kan）工作！
银翼杀手2049 Blade Runner 2049,2017,丹尼斯·维伦纽瓦,"瑞恩·高斯林,哈里森·福特,安娜·德·阿玛斯,西尔维娅·侯克斯,罗宾·怀特,杰瑞德·莱托,戴夫·巴蒂斯塔,麦肯兹·戴维斯,卡拉·朱里,爱德华·詹姆斯·奥莫斯,巴克德·阿巴蒂,大卫·达斯马齐连,西娅姆·阿巴斯,连尼·詹姆斯,马克·阿诺德,肖恩·杨","剧情,科幻,惊悚","美国,加拿大,英国","英语,芬兰语,日语,匈牙利语,俄语,索马里语",8.3,326392,38.4%,41.8%,16.8%,2.3%,0.7%,89734,故事发生在大断电30年后。复制人K（瑞恩·高斯林 Ryan Gosling 饰）是新一代的银翼杀手，在如今的世界里，人类和复制人之间的界限划分的更加明确，复制人从刚一制造出来就被灌输了服务于人类的思想，绝对不被允许产生人类的感情。
香水 Perfume: The Story of a Murderer,2006,汤姆·提克威,"本·卫肖,艾伦·瑞克曼,蕾切儿·哈伍德,达斯汀·霍夫曼,大卫·卡尔德,比吉特·米尼希迈尔,卡洛斯·格拉马赫,西恩·托马斯,佩里·米尔沃德,山姆·道格拉斯,卡洛琳·赫弗斯,卡罗丽娜·维拉·斯克利亚,莎拉·弗里斯蒂,科琳娜·哈弗奇,杰西卡·施瓦茨,约翰·赫特","剧情,犯罪,奇幻","德国,法国,西班牙,美国",英语,8.5,404936,41.7%,43.2%,13.2%,1.4%,0.5%,79636,十八世纪，让-马普蒂斯特•格雷诺耶（本•韦肖 Ben Whishaw 饰）出生在巴黎最肮脏、最恶臭不堪的地方——鱼市场上。格雷诺耶天生对气味有着惊人的天赋：无论恶臭还芳香，他都一一记住，并能轻易分辨各种气味。
摩登时代 Modern Times,1936,查理·卓别林,"查理·卓别林,宝莲·高黛,亨利·伯格曼,蒂尼·桑福德,切斯特·康克林,汉克·曼,斯坦利·布莱斯通,阿尔·欧内斯特·加西亚,理查德·亚历山大,塞西尔·雷诺兹,米拉·麦金尼,默多克·麦夸里,威尔弗雷德·卢卡斯,爱德华·勒桑,弗雷德·马拉泰斯塔,萨米·斯坦,特德·奥利弗,诺曼·安斯利,博比·巴伯,海尼·康克林,格洛丽亚·德黑文,帕特·弗莱厄蒂,弗兰克·哈格尼,帕特·哈蒙,劳埃德·英格拉哈姆,沃尔特·詹姆斯,爱德华·金博尔,杰克·洛,巴迪·梅辛杰,布鲁斯·米切尔,弗兰克·莫兰,詹姆斯·C·莫顿,路易·纳托,J·C·纽金特,拉斯·鲍威尔,约翰兰德,哈里·威尔逊","剧情,喜剧,爱情",美国,英语,9.3,185866,68.6%,27.0%,4.1%,0.2%,0.1%,23583,二十年代的美国处于经济萧条时期，失业率居高不下，工人受尽压榨，成为了大机器生产中的一颗螺丝钉。查理（查理·卓别林 Charles Chaplin 饰）就是一个底层市民，他在一个机器隆隆的厂房里日以继夜地工作，以赚取微薄的收入。重复繁重的工作压得他喘不过气，他把人们的鼻子当成螺丝钉来拧，卷入流水线机器的皮带里，令人苦笑不得。
十二公民,2014,徐昂,"何冰,韩童生,钱波,赵龙豪,米铁增,高冬平,张永强,李光复,王刚,班赞,刘一辉,雷佳",剧情,中国大陆,汉语普通话,8.4,246622,37.6%,46.4%,13.8%,1.6%,0.6%,65150,某高校模拟法庭，正就社会上不久前发生的一起真实案件展开辩论。案件的嫌疑人是某房地产商收养的富二代，其生父是来自河南的务工人员。案发当晚，有人听到富二代和其生父发生激烈争吵，随后生父被人在家中杀害。学生们围绕嫌疑人是否有罪展开激烈辩论，而他们的父亲作为陪审团观摩整个法庭的审判过程。休庭期间，12名陪审员被带到另一个房间展开讨论，他们必须在一个小时内得出结论，而且需要全票通过嫌疑人是否有罪。这些人来自各行各业，有着不同的背景。大家普遍希望尽快敷衍了事，谁知第一轮投票过后，只有8号陪审员（何冰 饰）认为嫌疑人无罪。有的人暴跳如雷、有的人奚落戏谑、有的人摇摆不定、有的则固执己见。这是一场关于良心和道义的鏖战……
新世界 신세계,2013,朴勋政,"李政宰,崔岷植,黄政民,宋智孝,朴圣雄,金秉玉,金胤成","剧情,犯罪",韩国,"韩语,汉语普通话",8.8,210766,49.9%,40.6%,8.8%,0.6%,0.2%,47468,金门集团会长、暴力组织在虎派大佬石东出遭遇车祸身亡，该事件在黑白两道引起不小震荡。为了遏制金门集团进一步向合法领域渗透并持续壮大，警方及时提出"新世界计划"，旨在干预金门集团继任大佬的选举。而围绕会长头衔，金门旗下三号人物华侨出身的丁青（黄正民 饰）和四号人物常务理事李仲久（朴圣雄 饰）展开一连串明争暗斗。在危机四伏的当下，警方姜科长（崔岷植 饰）命令卧底十年之久的李子成（李政宰 饰）左右选举结果。子成六年前和丁青结识，并且得到对方的器重和信任。早已厌倦黑道生活的子成无奈受命，却无疑将自己投入了凶险非常的黑色漩涡之中。
美国往事 Once Upon a Time in America,1984,赛尔乔·莱昂内,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文,乔·佩西,波特·杨,塔斯黛·韦尔德,特里特·威廉斯,丹尼·爱罗,理查德·布赖特,詹姆斯·海登,威廉·弗西斯,达兰妮·弗鲁格,拉里·拉普,理查德·弗让吉,罗伯特·哈珀,詹妮弗·康纳利","剧情,犯罪","美国,意大利","英语,法语,意大利语",9.2,287618,65.7%,27.8%,5.8%,0.5%,0.2%,55828,二十年代的美国，纽约少年"面条"（罗伯特•德尼罗 饰）和几个同龄朋友一起认识了聪明狡黠的"麦大"（詹姆斯 • 伍兹 饰），他们开始从事走私活动。不久，面条在一场械斗中杀伤人命，被关进监牢。
谍影重重 The Bourne Identity,2002,道格·里曼,"马特·达蒙,弗朗卡·波滕特,克里斯·库珀,克里夫·欧文,朱丽娅·斯蒂尔斯,布莱恩·考克斯,阿德沃尔·阿吉纽依-艾格拜吉,加布里埃尔·曼,沃尔顿·戈金斯,约什·汉密尔顿,奥尔索·马利亚·奎利尼","动作,悬疑,惊悚","美国,德国,捷克","英语,法语,德语,荷兰语,意大利语",8.6,298783,43.1%,43.6%,12.6%,0.7%,0.1%,36029,杰森·伯恩（马特·达蒙 饰）在意大利被人从海上救起，他失去了记忆，除了臀部的瑞士银行帐号之外，他完全没有办法证明自己的身份。
谍影重重3 The Bourne Ultimatum,2007,保罗·格林格拉斯,"马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩,斯科特·格伦,帕迪·康斯戴恩,埃德加·拉米雷兹,阿尔伯特·芬尼,琼·艾伦,Tom Gallop,克里·约翰逊,丹尼尔·布鲁尔,乔伊·安沙,科林·斯廷顿,丹·弗雷登堡,Lucy Liemann","动作,悬疑,惊悚","美国,德国","英语,法语,阿拉伯语,俄语,西班牙语",8.8,295427,50.3%,39.4%,9.7%,0.5%,0.1%,33509,失去了心爱的女人，波恩（马特•戴蒙 饰）面临更为艰难的日子，他努力回忆，却只能在睡梦中被脑海里一知半解的闪回所惊醒，依然无法记起自己的身份。
白日梦想家 The Secret Life of Walter Mitty,2013,本·斯蒂勒,"本·斯蒂勒,克里斯汀·韦格,亚当·斯科特,西恩·潘,凯瑟琳·哈恩,泰伦斯·伯尼·海恩斯 ,保罗·菲兹杰拉德,乔恩·戴利,乔伊·斯洛特尼克,格蕾丝·雷克斯,阿莱克斯·阿方格,阿曼达·诺顿,阿德里安·马丁内斯,雪莉·麦克雷恩,艾米·斯蒂勒,斯图尔特·康菲尔德,奥拉维尔·达里·奥拉夫松,索哈德吕尔·西格罗森,贡纳·黑尔加松,凯·伦诺克斯,柯南·奥布莱恩,安迪·里克特,安东尼·德西奥,帕顿·奥斯瓦尔特,理查德·德多梅尼科,马特·莱文,格雷格·西佩斯,马米·科西科,马修·古利,罗丝玛丽·霍华德,伊兰·克里斯费尔德,安娜·库奇马","剧情,喜剧,冒险","美国,英国","英语,西班牙语,冰岛语",8.4,255513,40.4%,43.2%,14.9%,1.3%,0.2%,68909,沃特.密提（本·斯蒂勒 Ben Stiller 饰）是一名在《生活》杂志工作了16年的胶片洗印经理，他性格内向，甚至无法跟心仪的同事谢莉尔（克里斯汀·韦格 Kristen Wiig 饰）开口搭讪，面对生活他像个旁观者，时常"放空"做白日英雄梦。直到有一天公司被并购，杂志需要做最后一期的封面，而封面成功与否的关键是找到狂野摄影师尚恩（西恩·潘 Sean Penn）的一卷胶片，沃特终于开口搭讪谢莉尔，并在她和母亲（雪莉·麦克雷恩 Shirley MacLaine 饰）的鼓励下踏上真正的冒险之旅，冰原、大海、喜马拉雅山……沃特的白日梦远不及现实壮丽。
我的野蛮女友 엽기적인 그녀,2001,郭在容,"车太贤,全智贤,金仁文,金太贤,李武英,林浩,郭在容,韩振熙,金一宇,徐东元,宋玉淑,杨金石","剧情,喜剧,爱情",韩国,"英语,韩语",8.2,370017,32.4%,46.1%,20.0%,1.3%,0.2%,49219,牵牛（车太贤饰）第一次与她（全智贤饰）邂逅，就毫无浪漫感可言。在地铁上她就语出惊人，喝的醉醺醺的她大声训斥不自觉给老人让座的人，吐完之后就软趴趴地倒了下来。善良的牵牛上前接住，于是就只好背着她到旅馆投宿了。但是好心不一定有好报，牵牛正在好好洗澡时就被冲进来的警察带走了。
黑客帝国2：重装上阵 The Matrix Reloaded,2003,莉莉·沃卓斯基,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,雨果·维文,莫妮卡·贝鲁奇,赫尔穆特·巴凯蒂斯,斯蒂夫·巴什托尼,克里斯汀·阿努,丹尼尔·伯哈特,约瑟芬·白内斯,安迪·阿尼斯,贾达·萍克·史密斯,邹兆龙,埃茜·戴维斯,纳许·埃哲顿,格洛丽亚·福斯特,大卫·富兰克林,诺娜·加耶,小罗伊·琼斯,大卫·基尔德,兰德尔·杜克·金,克里斯托弗·卡比,纳撒尼尔·利斯,哈里·伦尼克斯,罗伯特·马莫内,马特·麦科姆,罗宾·奈文,大卫·诺,吉娜薇·欧瑞丽,苏格拉底·奥图,哈罗德·佩里诺,阿德里安·雷梅特,尼尔·雷梅特,鲁伯特·雷德,大卫·罗伯茨,凯文·斯科特,尼坎德罗·托马斯,吉娜·托瑞斯,史蒂夫·维拉,克莱顿·华生,康奈尔·韦斯特,雷·沃纳尔,伯纳德·怀特,朗贝尔·维尔森,安东尼·布兰登·黄,安东尼·泽比","动作,科幻","美国,澳大利亚","英语,法语",8.6,239857,43.3%,42.7%,12.8%,0.9%,0.2%,22043,上一部结尾，尼奥（基奴李维斯 饰）终于意识到自己的能力和使命，中弹复活后，变成了无所不能的"救世主"，他和女友崔妮蒂（凯莉·安·摩丝 饰），舰长墨菲斯（劳伦斯·菲什伯恩 饰）回到了人类的基地锡安，受到人们的热烈欢迎。
萤火虫之墓 火垂るの墓,1988,高畑勋,"辰己努,白石绫乃,志乃原良子,山口朱美,端田宏三","剧情,动画,战争",日本,日语,8.7,307831,53.8%,33.2%,10.2%,1.6%,1.2%,55549,美日战争爆发，14岁的清太带着年幼的妹妹到处逃命，当他们到达防空洞的时候，母亲已身受重伤，没过多久便不久人世。两兄妹自此过着相依为命的日子。他们只好投靠了母亲的姐妹，纵使他们把家里所有的家当都送给了阿姨，但当食物吃完，他们就越感到了寄人篱下的感觉，清太决定带着妹妹离开独自生活。火灾硝烟中的生活并不好过，清太为了妹妹四处偷取食物，但妹妹还是严重营养不良……
明日边缘 Edge of Tomorrow,2014,道格·里曼,"汤姆·克鲁斯,艾米莉·布朗特,布莱丹·格里森,比尔·帕克斯顿,约纳斯·阿姆斯特朗,托尼·威,奇克·盖瑞,弗朗茨·德拉姆,德拉戈米尔·米希克,夏洛特·莱利,羽田正义,特伦斯·梅纳德,诺亚·泰勒,劳拉·普沃,玛德琳·曼托克","动作,科幻","美国,加拿大",英语,8.1,359769,28.0%,51.1%,19.1%,1.4%,0.3%,79626,未来世界陷入外星人入侵的恐慌中，军事演说家凯奇少校（汤姆·克鲁斯 Tom Cruise 饰）畏惧上战场，他从没想过将军（布莱丹·格里森 Brendan Gleeson 饰）会让他去指挥即将开始的"诺曼底战役"，拒绝接受命令之后将军居然恶整了他，那就是把他当做逃兵扔进了军 营中。凯奇被归入了J小队中进行战斗，战役的第一天就惨死在战场，没想到这一死让他拥有了时空循环的能力，而唯一相信他的人就是被称为"全金属战士"的丽塔·沃拉塔斯基（艾米莉·布朗特 Emily Blunt 饰）。二人开始了时空循环作战，在训练凯奇的同时他们发现了控制时间的奥秘，这与外星人"主脑"欧米茄有关，但是唯一能取得胜利的方法就是让凯奇不断死去、不断重启时间。在不断重复登陆那天的战斗的同时，凯奇越来越不想失去丽塔……
人工智能 Artificial Intelligence: AI,2001,史蒂文·斯皮尔伯格,"海利·乔·奥斯蒙,弗兰西丝·奥康纳,山姆·洛巴兹,杰克·托马斯,裘德·洛,威廉·赫特,肯·梁,克拉克·格雷格,凯文·苏斯曼,汤姆·加洛普,尤金·奥斯门特,艾普尔·格雷斯,马特·温斯顿,萨布丽娜·格德维奇,西奥·格林利","剧情,科幻,冒险",美国,英语,8.6,298656,47.4%,38.9%,12.2%,1.2%,0.3%,54498,21世纪中期，由于温室效应，南北极冰川融化，地球上很多城市被淹没。此时，人类科技已经高度发达，人工智能机器人就是人类发明出来用以应对恶劣自然环境的科技手段之一，而且，机器人制造技术已经高度发达，先进的机器人不但拥有可以乱真的人类外表，还能感知自身的存在。
碟中谍4 Mission: Impossible - Ghost Protocol,2011,布拉德·伯德,"汤姆·克鲁斯,杰瑞米·雷纳,西蒙·佩吉,宝拉·巴顿,乔什·哈洛威,迈克尔·恩奎斯特,亚尼·卡普,蕾雅·赛杜,弗拉基米尔·马什科夫,文·瑞姆斯,米歇尔·莫纳汉","动作,惊悚,冒险","美国,阿联酋,捷克,俄罗斯,印度,加拿大","英语,俄语,法语,阿拉伯语,瑞典语",8.3,342726,31.2%,53.4%,14.6%,0.7%,0.1%,79550,特工汉纳威（乔什·哈洛威 Josh Holloway 饰）执行任务时遇害，核机密文件被女杀手莫伦（蕾雅·赛杜 Léa Seydoux 饰）截获。为了找回文件，特工班吉（西蒙·佩吉 Simon Pegg 饰）和特工简（宝拉·巴顿 Paula Patton 饰）从俄罗斯监狱救出了伊桑·亨特（汤姆·克鲁斯 Tom Cruise 饰）。他们接受的幽灵协议任务便是从克林姆林宫盗取核军事密码。然而，当他们接近目标时，却发现被恐怖分子亨德里克斯（迈克尔·恩奎斯特 Michael Nyqvist 饰）捷足先登，抢走了核军事密码。在爆炸中，亨特受困医院，遭俄特工的追捕，幸好他身手矫捷，才化险为夷。不过，亨特的上司也在混乱中丧生，只剩下其助手布兰德（杰瑞米·雷纳 Jeremy Renner 饰）与亨特死里逃生，加上班吉和简，逼上绝境的四人开始了最后一搏，从迪拜到印度，他...
嘉年华,2017,文晏,"文淇,周美君,史可,耿乐,刘威葳,彭静,王栎鑫,李梦男,蒋欣悦,陈竹昇",剧情,"中国大陆,法国",汉语普通话,8.2,199113,31.3%,50.8%,16.0%,1.5%,0.3%,56144,小米（文淇 饰）在位于风景区的一间酒店里打工。一天，正值小米当班，一个男人带着两个看上去还是小学生的女孩子来开房，虽然心中所有顾虑，但小米秉着多一事不如少一事的念头替他们开了两间房。之后，在监控录像里，小米看到男人在半推半就之下进入了两个女孩的房间，心中隐隐觉得不安的小米将这一幕用手机录了下来。
海底总动员 Finding Nemo,2003,安德鲁·斯坦顿,"艾伯特·布鲁克斯,艾伦·德杰尼勒斯,亚历山大·古尔德,威廉·达福,布拉德·加内特,艾莉森·珍妮,奥斯汀·潘德尔顿,斯蒂芬·鲁特,薇姬·刘易斯,乔·兰福特,杰弗里·拉什,安德鲁·斯坦顿,伊丽莎白·帕金斯,Nicholas Bird,鲍勃·彼德森,巴瑞·哈姆弗莱斯,艾瑞克·巴纳,布鲁斯·斯宾斯,比尔·亨特,Jordan Ranft,埃丽卡·贝克,埃里克·佩尔·沙利文,约翰·拉岑贝格","喜剧,动画,冒险","美国,澳大利亚",英语,8.4,292177,34.2%,50.5%,14.7%,0.5%,0.1%,25053,在澳洲大堡礁的深海中，小丑鱼爸爸玛林和儿子尼莫简单幸福的生活着，可是爸爸做事常常畏首畏尾，是个胆小鬼，尼莫觉得爸爸很不勇敢，甚至有点看不起自己的爸爸。小尼莫却天不怕地不怕，跟同伴们去水面玩耍的时候，竟然被渔网捞了起来，辗转被卖到一家牙医诊所。玛林对儿子的生死未卜感到十分的担忧，就算平时不能大胆行事，为了儿子也要勇敢豁出去了。可是在路上遇到了很多艰难与恐惧，令他十分胆怯。幸好他遇到了好心的多瑞，一路与他作伴。父子俩都遇到了很多热心的帮助，最终都能重逢，玛林也从此成为儿子以及大家心中的英雄。
无人知晓 誰も知らない,2004,是枝裕和,"柳乐优弥,北浦爱,木村飞影,清水萌萌子,韩英惠,江原由希子,串田和美,冈元夕纪子,楯隆子,加濑亮,村野友希,田中庆太,木村佑一,远藤宪一,寺岛进,平泉成",剧情,日本,日语,9.1,175398,62.0%,32.5%,5.0%,0.4%,0.2%,47925,新搬来的公寓这家人是母亲惠子（You饰）带着四个孩子：明（柳乐优弥饰）、京子、茂、雪。但母亲却得对周围的人们撒谎说丈夫去海外工作，自己与长子两个人在一起生活。事实是其它三名弟妹是"黑孩子"，因为四个孩子有着各自不同的父亲。他们一直呆在家中，没有去学校上学。
终结者2：审判日 Terminator 2: Judgment Day,1991,詹姆斯·卡梅隆,"阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆,罗伯特·帕特里克,阿尔·伯恩,乔·莫顿,埃帕莎·默克森,卡斯图罗·格雷拉,丹尼·库克塞,詹妮特·戈德斯坦恩,山德·贝克利,莱思莉·汉密尔顿·格伦,彼得·舒鲁姆,唐·雷克,吉姆·帕尔默,格温达·迪肯,科林·帕特里克·林奇,妮基·考克斯,德沃恩·尼克森,阿卜杜勒·萨拉姆·埃尔·拉扎克,迈克·马斯喀特,迪恩·诺里斯,查尔斯·A·坦伯罗,丹尼·皮尔斯,马克·克里斯托弗·劳伦斯,林凡 ,乔尔·克莱默,斯科特·肖,史文-欧尔·托尔森,小威廉·威谢尔,Ken Gibbel,Robert Winley,Michael Edwards,Don Stanton,Dan Stanton,Lisa Brinegar,Dalton Abbott,Bret A. Arnold,Martin Deluca","动作,科幻","美国,法国","英语,西班牙语",8.7,240086,47.7%,40.4%,11.3%,0.5%,0.1%,22861,上一部中，超级电脑"天网"阻止人类抵抗领袖约翰·康纳诞生的行动失败，时隔13年后，在"审判日"到来之前，"天网"派出了更加先进的生化机器人T-1000（罗伯特·帕特里克 饰）从公元2029年回到洛杉矶追杀已经长大的约翰，与此同时，约翰也派出了机器人T-800（阿诺· 施瓦辛格 饰）回去保护年幼的自己。
